regulation_id,jurisdiction,statute_or_framework,primitives,execution_modes,modifiers,worked_example_section,last_verified_at,notes
us.federal.privacy_act_1974,US,5 U.S.C. §552a,P3;P6;P7,MA;MC,,§6,2026-05-06,System of Records Notices; access and correction rights; statutory windows
us.federal.fisma,US,44 U.S.C. §3551 et seq.,P3;P4;P5;P7;P10,MA;MB;MC,M2,§6,2026-05-06,FIPS 199 categorization drives baseline selection
us.federal.nist_sp_800_53_r5,US,NIST SP 800-53 Rev. 5,P1;P2;P3;P4;P5;P6;P7;P8;P9;P10,MA;MB;MC,M1;M2,§6,2026-05-06,Master union of primitives expressed as control families
us.federal.nist_sp_800_171_r3,US,NIST SP 800-171 Rev. 3,P1;P3;P4;P5;P8,MA;MB,,§6,2026-05-06,CUI handling for non-federal systems
us.federal.fedramp,US,FedRAMP PMO,P4;P5;P10,MA;MC,M1,§6,2026-05-06,Authorization tier (Low/Mod/High); Marketplace as dynamic predicate
us.federal.cmmc_2,US,CMMC 2.0 (32 CFR 170),P4;P10,MA;MC,M2,§6,2026-05-06,DoD contractor maturity certification
us.federal.itar,US,22 CFR 120-130,P1;P2;P5,MA,M1,§6,2026-05-06,Defense articles; person-class authority; BIS Entity List
us.federal.ear,US,15 CFR 730-774,P1;P2;P5,MA,M1,§6,2026-05-06,Dual-use technology; commerce control list
us.federal.cjis,US,FBI CJIS Security Policy,P1;P2;P3,MA;MB;MC,,§6,2026-05-06,Criminal justice information; audit retention
us.federal.irs_pub_1075,US,IRS Publication 1075; 26 U.S.C. §6103,P1;P4;P8,MA;MB,,§6,2026-05-06,Federal Tax Information handling by non-IRS entities
us.federal.eo_14028_ssdf,US,EO 14028; NIST SP 800-218,P10,MA;MB,M2,§6,2026-05-06,Secure Software Development Framework; SBOM
us.federal.ndaa_section_889,US,Section 889 NDAA FY2019,P10,MA,M1,§6,2026-05-06,Banned vendor list; covered entities
us.federal.eo_14117,US,EO 14117; 28 CFR 202,P1;P2;P5,MA,M1,§6,2026-05-06,Bulk US-person data to countries of concern
us.federal.omb_m_24_10,US,OMB Memo M-24-10,P3;P9;P10,MA;MB;MC,M2,§6,2026-05-06,Federal AI inventory; impact assessment; rights/safety
us.federal.omb_m_22_09,US,OMB Memo M-22-09,P2;P4,MA,M2,§6,2026-05-06,Zero trust architecture
us.federal.eo_14110,US,EO 14110 (partially rescinded),P3;P9;P10,MA;MB,,§6,2026-05-06,AI Executive Order; coverage varies post-2025
us.education.ferpa,US,20 U.S.C. §1232g; 34 CFR Part 99,P1;P2;P3;P5;P6,MA;MB;MC,,§8,2026-05-06,Education records; school official exception; 45-day access
us.education.coppa,US,15 U.S.C. §6501-6506; 16 CFR Part 312,P1;P2;P5;P6,MA;MC,,§8,2026-05-06,Under-13 personal info; school authorization model
us.health.hipaa_privacy,US,45 CFR Parts 160 and 164,P1;P2;P3;P5;P6;P7;P8,MA;MB;MC,M2,§8,2026-05-06,PHI; minimum necessary; 30-day access; 60-day breach
us.health.hipaa_security,US,45 CFR Part 164 Subpart C,P3;P4;P5;P7;P10,MA;MB;MC,M2,§8,2026-05-06,Administrative; physical; technical safeguards
us.health.hitech,US,Pub. L. 111-5 Title XIII,P3;P7;P9,MB;MC,,§8,2026-05-06,Breach notification; audit log requirements
us.health.42_cfr_part_2,US,42 CFR Part 2,P1;P2;P5,MA;MC,,,2026-05-06,Substance use disorder records; stricter than HIPAA
us.payments.pci_dss_v4,US,PCI-DSS v4.0.1,P1;P3;P4;P5,MA;MB;MC,M2,§7,2026-05-06,Cardholder data; quarterly scans; annual assessment
us.payments.reg_e,US,15 U.S.C. §1693; 12 CFR Part 1005,P2;P3;P6;P9,MA;MB;MC,M2,§7,2026-05-06,EFT consumer protections; 60-day error window
us.payments.reg_z,US,15 U.S.C. §1601; 12 CFR Part 1026,P3;P6;P9,MA;MB;MC,M2,§7,2026-05-06,TILA; 60-day billing error
us.payments.reg_p_glba,US,15 U.S.C. §6801; 12 CFR Part 1016,P1;P2;P5,MA;MC,,§7,2026-05-06,Financial privacy; affiliate sharing
us.payments.nacha,US,NACHA Operating Rules,P3;P4;P8,MA;MB;MC,M2,§7,2026-05-06,ACH origination eligibility; return codes
us.payments.bsa_aml,US,31 U.S.C. §5311; 31 CFR Chapter X,P3;P9,MB;MC,M2,§7,2026-05-06,SAR within 30 days; CTR ≥$10K
us.payments.ofac_sdn,US,31 CFR Chapter V,P2,MA,M1,§7,2026-05-06,Strict liability; freshness of SDN list critical
us.payments.travel_rule,US,31 CFR §1010.410(f),P1;P3,MA,,§7,2026-05-06,Wires ≥$3K must carry originator info
us.payments.dodd_frank_1073,US,Dodd-Frank §1073; Reg E Subpart B,P2;P3;P6;P9,MA;MB;MC,M2,§7,2026-05-06,Remittance disclosures; 30-min cancellation
us.payments.cfpb_1033,US,12 CFR Part 1033,P2;P3;P6,MA;MC,,§7,2026-05-06,Personal financial data rights
us.payments.cfpb_larger_participant_2024,US,CFPB Larger Participant Rule (digital wallets),P2;P3;P9,MA;MB,,§7,2026-05-06,Brings major nonbank wallets under CFPB supervision
us.payments.ecoa_reg_b,US,15 U.S.C. §1691; 12 CFR Part 1002,P3;P9,MA;MB,M2,§7,2026-05-06,Fair lending; adverse action notices; population-level testing
us.payments.finra_2165,US,FINRA Rule 2165,P9,MB,,§7,2026-05-06,Senior exploitation; trusted contact; temporary holds
us.payments.senior_safe_act,US,12 U.S.C. §3423,P9,MB,,§7,2026-05-06,Immunity for good-faith senior exploitation reports
us.payments.udaap,US,Dodd-Frank §1031; 15 U.S.C. §45,P3;P9,MB,,§7,2026-05-06,Post-hoc enforcement; consent-order-driven gating
us.state.money_transmitter,US-state,49 states + DC; CSBS NMLS,P4;P8,MA;MC,,§7,2026-05-06,Entity-level licensing tier
us.state.aps_mandatory_reporting,US-state,varies (e.g., CA WIC §15630),P9,MB,,§8,2026-05-06,Tenant-aware obligation
us.state.ccpa_cpra,US-state,Cal. Civ. Code §1798.100 et seq.,P1;P2;P5;P6,MA;MC,,,2026-05-06,Sale/share opt-out; sensitive PI
us.state.bipa,US-state,740 ILCS 14,P1;P2;P5;P6;P9,MA;MB,,,2026-05-06,Biometric privacy; private right of action
us.state.nyc_ll_144,US-state,NYC Local Law 144 of 2021,P3;P9,MB,M2,,2026-05-06,Automated employment decision tools; bias audit
us.state.colorado_ai_act,US-state,Colorado SB 24-205,P3;P7;P9,MA;MB;MC,M2,,2026-05-06,High-risk AI consumer protection (effective 2026)
eu.gdpr,EU,Regulation (EU) 2016/679,P1;P2;P3;P5;P6;P7;P8,MA;MB;MC,M2,,2026-05-06,Lawful basis; DPIA; 72-hour breach; subject rights
eu.ai_act,EU,Regulation (EU) 2024/1689,P3;P4;P7;P9;P10,MA;MB;MC,M2,,2026-05-06,Risk-tiered; prohibited/high-risk obligations
eu.psd2,EU,Directive (EU) 2015/2366,P2;P4,MA;MC,,§7,2026-05-06,Strong customer authentication
eu.nis2,EU,Directive (EU) 2022/2555,P3;P7;P10,MA;MB;MC,M2,,2026-05-06,Significant incident reporting
international.fatf_travel_rule,Intl,FATF Recommendation 16,P1;P3,MA,,§7,2026-05-06,Crypto travel rule extension via FATF
international.iso_42001,Intl,ISO/IEC 42001:2023,P3;P7;P10,MB;MC,M2,,2026-05-06,AI management system standard
international.iso_27001,Intl,ISO/IEC 27001:2022,P3;P5;P7;P8;P10,MA;MB;MC,M2,,2026-05-06,ISMS; complementary to primitive stack
us.accessibility.section_508,US,29 U.S.C. §794d,P5,MA,,,2026-05-06,Federal ICT accessibility
us.accessibility.ada_title_ii_iii,US,42 U.S.C. §12131; §12181 et seq.,P5,MA,,,2026-05-06,Effective communication; web access (DOJ 2024 rule)
international.wcag_2_2,Intl,W3C WCAG 2.2,P5,MA,,,2026-05-06,Accessibility baseline cited by US ADA Title II rule
us.financial.sox,US,Pub. L. 107-204,P3;P7;P8,MB;MC,M2,,2026-05-06,Financial reporting audit trails
us.financial.sr_11_7,US,Federal Reserve SR 11-7,P3;P4;P9;P10,MA;MB;MC,M2,,2026-05-06,Model risk management; reproducibility
us.federal.bsca_occ_third_party,US,12 U.S.C. §1867; OCC Bull. 2023-17,P8,MA;MB;MC,M2,§7,2026-05-06,Bank vendor management; flow-down
international.uk_aadc,UK,UK Age-Appropriate Design Code,P1;P2;P5;P6,MA;MC,,,2026-05-06,ICO children-online code; influenced US state laws
us.health.fda_samd,US,FDA Software as a Medical Device guidance,P3;P4;P7;P10,MA;MB;MC,M2,,2026-05-06,Clinical decision support; capability claims gated to validated indications
us.federal.fisa_section_702,US,50 U.S.C. §1881a,P1;P2;P5;P9,MA;MB,,,2026-05-06,Foreign intelligence surveillance; downstream restrictions
us.payments.genius_act_stablecoins,US,GENIUS Act of 2025,P1;P2;P3;P4;P9,MA;MB;MC,M1;M2,§7,2026-05-06,Federal stablecoin framework (effective 2025)
